"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","absLFC"
"ENSG00000286700.1",4.94557974965588,-4.98977820482313,0.82989800122128,2.81581928436797e-11,3.58911890873172e-10,"AC108075.1",4.98977820482313
"ENSG00000177234.7",15.9284787162675,4.98943382015085,0.504587538206254,2.53579609137606e-24,1.51853984228075e-22,"LINC01561",4.98943382015085
"ENSG00000286405.1",1.68993740164761,-4.97732633795705,1.34493849652777,3.16721342470452e-05,0.000144406699368724,"AL132799.1",4.97732633795705
"ENSG00000151033.10",2.10874151376934,4.97686389017849,0.736461926428137,2.7838093038397e-05,0.000128175298513876,"LYZL2",4.97686389017849
"ENSG00000128591.16",1369.13252530494,-4.97455218438,0.234737701024417,7.02453440078741e-14,1.28084828892227e-12,"FLNC",4.97455218438
"ENSG00000224223.1",38.1209885475489,4.97006266098553,1.21159850218616,1.52788460170658e-06,8.91054315520212e-06,"VSTM2A-OT1",4.97006266098553
"ENSG00000171885.18",78.3042840618953,-4.9681312623712,0.353726671817956,1.20829500147389e-18,4.07089715590913e-17,"AQP4",4.9681312623712
"ENSG00000104321.11",71.3364758418984,4.96468259378645,0.466700769514571,3.04575461953613e-13,5.10667624728370e-12,"TRPA1",4.96468259378645
"ENSG00000188536.13",818.216816344646,-4.96255712523939,0.444047058722243,3.03159486941759e-30,3.60888402576366e-28,"HBA2",4.96255712523939
"ENSG00000244734.4",5091.78936245927,-4.95753675219999,0.455456360753492,7.88009945928825e-29,7.87689127630228e-27,"HBB",4.95753675219999
"ENSG00000163710.9",3615.21132129167,-4.94454143399996,0.502534395591874,4.31992623989599e-24,2.49932227405117e-22,"PCOLCE2",4.94454143399996
"ENSG00000228723.6",11.0901830796279,4.94365698754631,0.864424693884927,7.73708255668871e-10,7.89053871123986e-09,"SRGAP3-AS2",4.94365698754631
"ENSG00000166743.9",686.232668091829,-4.92865978783919,0.522205882733399,7.51303268667531e-11,8.9491199534067e-10,"ACSM1",4.92865978783919
